carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.53,Good,D,VS2,58.4,58.0,5.31,5.38,3.12,2211.006338782776
1.5,Good,D,SI2,60.2,65.0,7.37,7.34,4.43,8974.38787868474
0.33,Ideal,E,VS1,60.6,57.0,4.5,4.54,2.74,722.6331673905515
0.91,Good,E,I1,57.7,63.0,6.35,6.3,3.65,4621.412181042595
0.55,Very Good,I,VS2,61.0,57.0,5.31,5.32,3.24,1997.949845074916
1.08,Good,E,SI2,63.7,57.0,6.54,6.49,4.15,5609.281899698739
0.52,Premium,G,VVS1,61.9,61.0,5.13,5.11,3.17,1307.3127322489127
0.24,Very Good,E,VS1,60.1,57.0,4.08,4.1,2.46,375.7977376206254
0.36,Ideal,D,VS2,62.5,55.0,4.55,4.57,2.85,800.3115294580493
1.0,Fair,F,SI2,65.5,56.0,6.3,6.19,4.09,4783.079296067079
0.75,Premium,H,VS2,60.8,57.0,5.9,5.87,3.58,3450.458486257081
0.78,Premium,H,SI2,59.7,59.0,6.03,5.97,3.58,3627.5487112788687
0.31,Ideal,E,VS1,61.3,55.0,4.36,4.38,2.68,741.4509652436682
0.36,Ideal,H,VS2,61.0,55.0,4.59,4.62,2.81,1055.077654303037
0.41,Ideal,D,VVS2,62.1,56.0,4.76,4.78,2.96,1056.2357215336779
0.34,Premium,E,SI2,62.4,59.0,4.46,4.42,2.77,305.7374699665561
0.6,Premium,E,VS1,61.0,61.0,5.46,5.39,3.31,1935.9950783129789
1.01,Premium,E,SI1,61.7,56.0,6.44,6.39,3.96,5487.783496030699
1.73,Premium,G,VS2,62.9,58.0,7.65,7.58,4.79,11258.449803369056
1.02,Very Good,H,SI1,64.4,59.0,6.24,6.36,4.06,5002.879973293217
1.02,Ideal,G,VS2,62.3,55.0,6.45,6.48,4.03,5568.9568096928615
0.63,Very Good,E,SI1,61.0,57.6,5.48,5.51,3.36,2585.65868024647
0.31,Very Good,G,VVS2,62.9,58.0,4.27,4.31,2.7,224.41487020639397
0.76,Ideal,E,VS2,62.1,55.0,5.84,5.88,3.64,3577.4501031707223
0.4,Ideal,F,IF,60.9,57.0,4.81,4.84,2.94,1029.2752773079192
1.08,Premium,I,SI2,62.7,57.0,6.57,6.53,4.11,5774.594576612702
1.21,Good,G,I1,64.0,59.0,6.78,6.73,4.32,6441.382676116891
0.9,Good,H,VS2,61.5,61.0,6.15,6.24,3.81,4207.929097366607
1.5,Premium,F,VS2,61.5,58.0,7.34,7.36,4.52,9465.909511191909
0.5,Very Good,D,VS2,62.8,58.0,5.0,5.03,3.15,1380.1310219515399
0.82,Very Good,I,VS1,63.6,58.9,5.88,5.93,3.76,3471.653359199605
0.31,Ideal,I,SI1,62.2,56.0,4.37,4.34,2.71,441.94196488007947
0.36,Very Good,E,VS2,61.3,60.0,4.55,4.59,2.8,535.1448368359488
0.79,Ideal,I,SI2,62.1,56.0,5.92,5.97,3.69,3698.9084555319932
0.3,Premium,D,VS2,61.9,58.0,4.32,4.28,2.66,252.63182068132664
0.7,Ideal,D,SI2,60.4,56.0,5.78,5.81,3.5,3249.4488111980936
1.35,Very Good,J,VS1,62.1,56.0,7.04,7.1,4.39,8315.30815206821
0.44,Ideal,D,VS1,61.1,56.0,4.95,4.91,3.01,1341.6662472950738
0.33,Ideal,F,IF,62.1,56.0,4.41,4.44,2.75,631.1486274958515
0.74,Ideal,F,SI1,62.5,56.0,5.8,5.76,3.61,3224.5277727327375
1.1,Ideal,F,VS2,60.7,57.0,6.66,6.7,4.05,6285.757661483405
0.4,Premium,F,VS2,59.3,59.0,4.83,4.79,2.85,1119.4091288434101
1.83,Fair,J,I1,70.0,58.0,7.34,7.28,5.12,11282.669890446834
0.71,Ideal,F,VS2,61.6,56.0,5.74,5.77,3.54,3163.4303775484623
1.0,Ideal,E,SI2,62.0,57.0,6.37,6.41,3.96,5310.572074897631
2.0,Very Good,H,SI1,63.3,59.0,8.02,8.0,5.07,13514.143530346953
2.03,Premium,G,SI1,61.9,59.0,8.14,8.09,5.02,13966.561904643513
1.0,Fair,F,SI2,65.5,54.0,6.2,6.16,4.05,5114.360062780112
0.9,Very Good,G,SI1,62.9,56.0,6.11,6.17,3.86,4481.889172088042
0.41,Ideal,F,VVS2,61.2,56.0,4.78,4.8,2.93,1213.5327280132296
0.41,Ideal,F,VVS1,61.8,57.0,4.75,4.79,2.95,1028.8719196511083
1.51,Premium,F,VS2,61.6,58.0,7.32,7.35,4.52,9578.138875599112
1.16,Very Good,H,SI2,63.2,57.0,6.66,6.7,4.22,6424.641365611758
0.54,Ideal,G,VS1,61.8,56.0,5.21,5.26,3.24,1957.1828576159278
1.54,Very Good,D,SI1,63.0,59.0,7.31,7.35,4.62,9528.876794357731
2.07,Premium,H,SI1,61.1,58.0,8.27,8.2,5.03,14495.839927302055
0.41,Ideal,J,VVS1,62.0,57.0,4.79,4.73,2.95,932.3422907881941
1.54,Ideal,F,VS1,60.5,56.0,7.52,7.49,4.54,10073.835171374098
0.42,Premium,F,VS1,61.8,59.0,4.83,4.81,2.98,829.8146806786463
1.12,Premium,G,I1,60.4,59.0,6.71,6.67,0.0,6126.5795353918
1.0,Ideal,G,VVS2,62.8,53.9,6.37,6.42,4.02,5465.975007407518
1.01,Premium,I,VVS1,62.0,59.0,6.39,6.32,3.94,5181.924669155755
1.7,Good,I,I1,63.6,58.0,7.52,7.48,4.77,10958.52759870329
0.31,Ideal,F,VVS1,60.6,56.0,4.44,4.41,2.68,679.3405037930534
0.3,Very Good,F,IF,62.5,56.0,4.27,4.3,2.68,401.2624759080318
1.16,Ideal,J,SI1,60.7,57.0,6.83,6.77,4.13,6712.243572106916
0.3,Premium,E,VS2,59.1,58.0,4.37,4.39,2.59,761.6170246770416
1.0,Very Good,E,VVS2,61.7,55.0,6.38,6.42,3.95,5562.4418976270845
0.94,Fair,H,SI1,68.4,53.0,6.05,5.97,4.11,4170.899170635472
0.5,Ideal,I,VS2,62.4,55.0,5.09,5.11,3.18,1654.9681698007043
1.2,Ideal,E,SI2,62.0,57.0,6.8,6.82,4.22,6920.762561842388
0.4,Very Good,G,VVS1,60.9,57.0,4.76,4.8,2.91,1091.3071476554687
0.62,Ideal,D,SI1,60.8,59.0,5.48,5.5,3.34,2375.5620530533924
1.02,Good,G,VS2,63.7,57.0,6.24,6.31,4.0,5344.066877149724
0.96,Very Good,I,SI2,62.7,58.0,6.2,6.24,3.9,4848.703527915684
1.51,Very Good,F,VS1,59.6,63.0,7.34,7.43,4.4,9450.489502154865
0.7,Ideal,F,SI1,60.7,57.0,5.73,5.75,3.49,3148.1689452357095
0.52,Ideal,D,SI2,61.7,55.0,5.17,5.2,3.2,1912.814766285548
0.4,Premium,G,SI1,59.3,59.0,4.82,4.8,2.85,1133.06322193718
0.5,Ideal,E,VS2,62.9,54.0,5.14,5.1,3.22,1590.3653377468363
1.25,Ideal,I,SI2,61.4,55.0,6.92,6.99,4.27,7636.110002205023
0.91,Very Good,G,VS2,62.3,59.0,6.13,6.17,3.83,4378.444956491217
0.44,Ideal,I,VS1,61.1,56.0,4.92,4.96,3.02,1384.1495248852007
0.42,Very Good,E,SI1,62.3,58.0,4.76,4.81,2.98,921.3013723198783
1.29,Ideal,G,VS2,61.3,57.0,6.99,7.07,4.31,7795.286169456016
1.12,Ideal,F,VS1,61.8,56.0,6.67,6.69,4.13,6366.753971707023
0.6,Ideal,G,VS1,62.2,55.0,5.41,5.45,3.38,2373.723947624301
0.3,Very Good,E,SI1,63.2,57.0,4.3,4.25,2.7,115.39608093419884
0.31,Premium,H,SI1,62.3,55.0,4.36,4.34,2.71,536.4476777309319
1.71,Premium,G,VS1,62.7,58.0,7.66,7.62,4.79,11074.394820437676
0.74,Ideal,G,SI1,61.3,57.0,5.81,5.83,3.57,3356.6951109227994
0.3,Very Good,F,SI1,63.5,57.0,4.27,4.24,2.7,92.92994208546588
0.71,Good,F,SI2,64.1,60.0,0.0,0.0,0.0,9297.830753467802
0.31,Ideal,D,SI2,61.3,56.0,4.36,4.41,2.69,641.7222489497617
0.32,Premium,G,VS2,61.7,60.0,4.4,4.32,2.69,202.48271145683975
1.54,Premium,G,SI1,61.0,59.0,7.43,7.38,4.52,9777.328259996752
1.02,Ideal,J,SI2,61.6,55.0,6.49,6.43,3.98,5654.548910277654
1.0,Very Good,F,VVS2,62.9,55.0,6.29,6.36,3.98,5433.385390885978
1.0,Premium,D,SI1,62.5,59.0,6.32,6.38,3.97,5069.171234462325
1.01,Ideal,H,VS1,61.5,56.0,6.48,6.43,3.97,5478.83551204538
0.7,Premium,G,VVS2,61.8,58.0,5.67,5.63,3.49,2893.8526113262815
0.29,Ideal,G,VS2,61.6,56.0,4.26,4.29,2.63,488.36782499455876
0.41,Premium,G,VVS1,60.0,59.0,4.84,4.83,2.9,1074.7755696429922
0.35,Ideal,D,SI1,62.3,55.0,4.54,4.51,2.82,742.6454106582423
1.05,Ideal,F,SI1,61.8,57.0,6.51,6.54,4.03,5713.0932499161445
0.3,Very Good,H,VVS1,62.2,58.0,4.26,4.29,2.66,270.569427715629
1.22,Ideal,G,VVS2,60.0,58.0,6.95,6.99,4.18,7252.351903563671
1.01,Very Good,G,SI2,60.8,63.0,6.4,6.36,3.88,5006.183800123421
1.22,Very Good,E,VS2,59.5,60.0,6.91,7.0,4.14,7202.050927921038
1.03,Very Good,F,SI1,60.6,63.0,6.47,6.5,3.93,5179.139943603717
1.57,Premium,F,SI1,62.0,58.0,7.47,7.41,4.61,9949.068924345027
0.31,Ideal,F,IF,61.2,57.0,4.35,4.38,2.67,570.9241922705187
0.42,Ideal,D,SI1,61.9,57.0,4.82,4.77,2.97,1023.4905764251343
0.34,Ideal,E,SI1,63.0,55.0,4.47,4.42,2.8,578.6981277380291
1.01,Premium,F,VS2,63.0,58.0,6.43,6.36,4.03,5033.239247121901
0.34,Very Good,E,VS2,62.8,58.0,4.43,4.45,2.79,367.7234808908288
0.4,Ideal,E,SI2,61.2,55.0,4.74,4.77,2.91,1258.2448783167092
0.39,Very Good,I,VVS2,63.0,56.0,4.62,4.68,2.93,835.2038286199604
1.57,Ideal,E,VS2,62.3,57.0,7.39,7.44,4.62,10096.526897080155
1.35,Premium,H,VS2,61.5,58.0,7.09,7.15,4.38,8170.991162141689
0.35,Very Good,D,SI1,60.1,61.0,4.56,4.59,2.75,556.003636465699
2.5,Fair,H,SI2,64.9,58.0,8.46,8.43,5.48,18103.699425351577
0.51,Very Good,G,VS2,62.7,57.0,5.05,5.12,3.19,1550.496966214414
0.62,Premium,J,VVS2,60.9,58.0,5.5,5.56,3.37,2435.344081744228
0.56,Ideal,G,SI1,61.5,56.0,5.31,5.32,3.27,2105.9742866446504
0.35,Ideal,F,VVS1,61.8,55.0,4.53,4.57,2.81,860.6787134593287
0.72,Premium,F,VS1,62.2,58.0,5.75,5.7,3.56,2928.2227552738514
1.51,Ideal,I,SI2,61.2,58.0,7.33,7.42,4.51,9650.14149756183
1.01,Good,D,SI2,63.9,57.0,6.29,6.36,4.04,5135.206408761296
1.51,Fair,G,SI2,65.5,55.0,7.14,7.08,4.66,9314.332634559361
0.75,Very Good,H,VVS2,60.6,57.0,5.86,5.89,3.56,3543.946118502343
0.5,Good,D,SI2,61.9,63.0,5.05,5.07,3.13,990.6211076483924
0.36,Ideal,G,VVS2,61.5,55.0,4.58,4.62,2.83,966.9906027948491
0.63,Ideal,F,SI1,62.6,56.0,5.53,5.49,3.45,2359.2228778541976
0.47,Ideal,H,SI2,62.4,53.0,4.98,5.02,3.12,1674.2008130146423
1.01,Good,F,SI1,58.8,64.0,6.58,6.51,3.85,5083.783580953692
1.01,Very Good,G,VS2,63.2,55.0,6.39,6.34,4.02,5348.729041906781
0.9,Ideal,G,SI2,62.7,55.0,6.11,6.17,3.85,4624.089678268067
1.51,Ideal,I,SI1,61.2,60.0,7.39,7.37,4.52,9365.562907907764
1.0,Good,I,SI1,57.6,61.0,6.56,6.52,3.77,5550.508790535378
0.31,Premium,I,VS1,62.3,59.0,4.29,4.35,2.69,220.63427396909174
1.63,Premium,I,SI1,61.7,58.0,7.54,7.51,4.64,10567.360659093854
0.4,Very Good,E,VVS2,61.4,56.0,4.74,4.81,2.93,1118.682437242056
0.42,Very Good,G,VS1,60.6,58.0,4.82,4.95,2.96,1196.507231074178
0.7,Premium,H,VS1,61.9,56.0,5.7,5.67,3.52,3041.2302615260887
0.32,Very Good,D,SI1,60.1,60.0,4.38,4.4,2.64,557.4919580029855
0.75,Very Good,E,VS2,62.8,55.0,5.77,5.79,3.63,3413.9067517627955
0.32,Ideal,G,IF,61.4,55.0,4.42,4.44,2.72,754.4413119239289
0.25,Ideal,E,VS2,60.6,57.0,4.08,4.11,2.48,382.16853307534257
1.02,Ideal,F,SI2,61.6,56.0,6.52,6.49,4.01,5518.016978116633
0.4,Premium,D,SI1,61.1,58.0,4.75,4.74,2.9,958.0431377567511
0.48,Good,F,VS1,59.0,60.9,5.09,5.15,3.02,1529.6162142231624
0.31,Ideal,E,VS1,60.1,55.0,4.42,4.53,2.69,916.4366777048381
1.0,Ideal,H,SI2,62.5,54.0,6.32,6.38,3.97,5578.212474467353
0.9,Premium,I,VS2,61.6,58.0,6.15,6.09,3.77,4482.962019500777
1.02,Very Good,D,SI1,62.7,57.0,6.42,6.5,4.05,5324.959543215848
0.36,Premium,F,VS2,62.0,59.0,4.51,4.56,2.81,545.2769910168608
0.31,Very Good,E,SI1,63.1,57.0,4.31,4.28,2.71,231.77302105158014
0.7,Fair,F,VS2,65.5,57.0,5.55,5.41,3.59,2389.8296467450673
1.74,Premium,J,VS2,61.9,62.0,7.62,7.54,4.7,11195.609794964526
1.79,Premium,G,VS1,61.7,59.0,7.85,7.74,4.81,11791.221136563614
0.36,Ideal,E,VS1,62.4,55.0,4.61,4.59,2.87,744.0611959518246
1.52,Good,E,I1,57.3,58.0,7.53,7.42,4.28,10281.46045110987
0.94,Premium,E,SI1,62.0,58.0,6.24,6.27,3.88,4725.98594370323
0.33,Ideal,I,SI1,61.5,57.0,4.49,4.46,2.75,548.0815378013103
1.06,Ideal,G,SI2,62.2,55.0,6.56,6.53,4.07,5877.691633969063
0.75,Ideal,E,SI1,62.1,55.0,5.81,5.85,3.62,3507.258445777701
0.79,Premium,H,VS1,60.0,60.0,6.07,5.99,3.64,3522.6994690892934
0.33,Ideal,E,SI1,59.6,57.0,4.53,4.49,2.69,882.5151122077878
0.82,Ideal,F,SI2,62.4,54.0,5.97,6.02,3.74,4101.649812852738
0.32,Ideal,G,VS1,61.9,55.0,4.4,4.42,2.73,677.9288218024121
0.3,Premium,F,VS2,62.2,60.0,4.22,4.27,2.64,117.41024067450053
0.7,Ideal,F,VS2,62.0,56.0,5.71,5.74,3.55,3012.858135309685
1.52,Fair,J,VS1,65.4,58.0,7.22,7.17,4.7,9038.178907731724
0.31,Ideal,G,IF,62.0,54.0,4.36,4.38,2.71,701.684343861969
0.51,Ideal,D,VS2,61.6,57.0,5.19,5.14,3.18,1592.2513090638677
0.74,Premium,H,VS2,59.9,57.0,5.91,5.87,3.53,3511.931249350884
0.67,Good,F,VS2,58.1,62.0,5.76,5.83,3.36,2808.4240298771874
0.32,Ideal,H,VS1,62.1,55.0,4.39,4.4,2.73,649.1111250100657
0.72,Ideal,H,VS1,62.3,55.0,5.72,5.74,3.57,3255.1741486230785
0.5,Very Good,E,VS2,62.8,60.0,5.02,5.08,3.17,1153.9239365744543
0.86,Ideal,E,SI2,61.8,57.0,6.1,6.13,3.78,4184.110448352807
0.51,Premium,D,SI1,61.9,60.0,5.15,5.12,3.18,1276.8974525093436
2.0,Fair,I,VS1,58.5,68.0,8.26,8.15,4.8,13260.156268379607
1.79,Very Good,F,VS2,62.8,59.0,7.7,7.8,4.87,11769.05027815724
0.7,Very Good,F,VS2,63.4,56.0,5.69,5.63,3.59,2748.94778552973
0.7,Very Good,G,VS2,62.2,61.0,5.54,5.59,3.46,2673.631835852193
0.28,Very Good,E,IF,59.6,55.0,4.24,4.31,2.55,915.2198307377075
0.32,Premium,D,SI1,60.8,58.0,4.41,4.44,2.69,583.2889021534575
1.5,Good,I,I1,62.6,63.0,7.19,7.25,4.52,8922.7787559362
0.9,Fair,I,VVS2,60.9,66.0,6.1,6.12,3.72,3876.4164405231677
0.41,Premium,I,VVS2,62.4,60.0,4.73,4.7,2.94,621.8189938684627
1.0,Premium,J,SI1,58.7,58.0,6.55,6.51,3.83,5646.515106607167
0.91,Very Good,H,VS2,58.3,59.0,6.35,6.47,3.74,4919.3870553538745
1.07,Very Good,J,VVS2,60.0,60.0,6.57,6.59,3.95,5909.811816375202
2.2,Ideal,J,SI1,61.5,57.0,8.41,8.37,5.16,15738.397489995517
1.52,Very Good,D,SI1,60.6,57.8,7.4,7.46,4.51,9810.451805220671
0.31,Ideal,H,VVS2,62.3,55.0,4.36,4.37,2.72,538.5272094380271
0.9,Good,H,SI2,64.1,58.0,6.05,6.02,3.87,4104.094826649427
0.41,Premium,J,VS1,61.3,59.0,4.78,4.74,2.92,883.9547572626507
1.58,Premium,G,VS2,58.2,58.0,7.68,7.64,4.46,10562.971943610419
0.9,Premium,G,SI1,61.9,59.0,6.18,6.13,3.81,4284.522667518548
1.2,Good,I,SI1,65.0,59.0,6.51,6.57,4.25,6472.222911220357
1.16,Very Good,F,VS2,60.2,63.0,6.79,6.7,4.07,6249.433474249523
0.3,Premium,H,VVS2,62.1,52.0,4.31,4.29,2.67,836.7431436021143
0.4,Premium,D,SI1,60.9,60.0,4.74,4.78,2.9,810.5525247346195
0.24,Very Good,F,VVS2,61.4,57.0,4.03,4.06,2.48,174.67403253614248
0.72,Very Good,H,VS1,60.6,63.0,5.83,5.76,3.51,2642.1180980634635
0.33,Good,I,VVS2,63.7,56.0,4.4,4.36,2.79,315.0221285239095
0.86,Very Good,E,VS2,62.3,56.0,6.05,6.08,3.78,4246.61335361169
0.7,Ideal,D,VS1,62.5,57.0,5.65,5.68,3.54,2883.8776393515036
0.52,Ideal,E,SI1,60.1,59.0,5.18,5.23,3.13,1817.7038117252596
0.41,Premium,E,VS1,62.3,59.0,4.76,4.74,2.96,707.7806542462749
1.06,Ideal,G,VS2,61.8,57.0,6.52,6.56,4.04,5808.513561789607
0.72,Ideal,J,SI1,62.6,56.0,5.67,5.74,3.57,3157.6494145626057
1.54,Ideal,H,SI2,60.9,56.0,7.45,7.43,4.53,10080.156577958065
0.76,Ideal,D,SI1,61.2,57.0,5.88,5.91,3.61,3505.4980276555398
1.01,Very Good,D,VS2,60.4,58.0,6.47,6.57,3.94,5519.301292079965
1.0,Fair,G,VVS2,65.5,54.0,6.3,6.22,4.1,4988.775323776186
2.02,Very Good,H,SI2,59.9,55.0,8.17,8.28,4.93,14642.451992170521
0.32,Very Good,F,VS2,63.2,58.0,4.35,4.32,2.74,167.62524081300216
0.32,Ideal,D,SI1,62.0,57.0,4.4,4.37,2.72,450.7176324511129
2.43,Premium,I,SI2,62.2,60.0,8.59,8.53,5.33,17531.151462618203
0.92,Very Good,E,SI1,63.3,57.0,6.22,6.17,3.92,4370.850723647938
0.41,Ideal,J,VS1,62.7,57.0,4.72,4.75,2.97,883.1494745582277
0.38,Premium,H,VS2,60.5,59.0,4.69,4.66,2.83,835.9112827102108
1.71,Very Good,E,SI1,63.4,56.0,7.58,7.5,4.78,11232.882797792578
0.9,Very Good,I,SI1,61.4,55.0,6.19,6.28,3.83,4789.836438053959
0.43,Very Good,F,VS1,63.4,57.0,4.8,4.76,3.03,852.5702020669378
0.7,Very Good,G,VS2,58.2,60.0,5.84,5.78,3.38,3205.8777692831827
0.51,Ideal,E,VS2,62.0,54.0,5.16,5.13,3.19,1855.215750884785
0.4,Good,E,SI1,63.5,58.0,4.65,4.67,2.96,597.9583137019144
0.9,Premium,I,SI1,60.9,56.0,6.26,6.21,3.8,4693.228218087979
0.78,Good,E,SI2,63.7,54.0,5.82,5.77,3.69,3588.9454897330215
1.12,Premium,F,SI2,60.5,59.0,6.73,6.79,4.09,6251.900710458052
0.4,Premium,E,SI1,60.8,62.0,4.76,4.72,2.88,596.9839407730724
0.51,Very Good,J,SI1,62.6,59.0,5.06,5.1,3.18,1352.662007053732
1.01,Fair,E,SI2,67.6,57.0,6.21,6.11,4.18,4476.933083251406
0.52,Ideal,E,VS2,61.7,55.0,5.16,5.21,3.2,1926.4688593793144
0.41,Ideal,E,VS2,61.8,56.0,4.78,4.74,2.94,1088.1968900619868
1.05,Premium,G,SI2,60.1,60.0,6.58,6.66,3.98,5667.449943638538
2.02,Very Good,G,SI2,62.8,55.0,8.06,8.11,5.08,14191.52230321077
0.9,Very Good,I,SI2,60.9,63.0,6.21,6.13,3.76,4039.9642873231205
0.64,Premium,D,VS2,60.9,59.0,5.6,5.63,3.42,2422.499374657833
1.22,Premium,I,SI1,62.1,58.0,6.89,6.8,4.25,6894.780655996832
1.32,Very Good,H,SI1,62.4,58.0,7.02,7.09,4.4,7755.549269253859
2.2,Premium,I,SI2,63.0,59.0,8.22,8.19,5.17,15467.975535866597
1.0,Ideal,G,VS2,62.6,57.0,6.47,6.4,4.03,5059.496896056471
0.54,Premium,H,VS1,61.9,56.0,5.29,5.24,3.26,1831.711081434325
2.25,Ideal,I,SI2,62.4,57.0,8.39,8.32,5.21,16115.207112646382
1.13,Very Good,H,SI2,62.5,62.0,6.59,6.66,4.14,5823.605501923015
0.62,Premium,F,SI2,61.7,60.0,5.48,5.45,3.37,2088.5900789870248
0.9,Fair,D,SI2,64.7,59.0,6.09,5.99,3.91,3827.455896646854
0.38,Ideal,D,VS2,61.8,56.0,4.65,4.67,2.88,931.1212234614504
0.4,Very Good,D,SI1,63.1,57.0,4.73,4.69,2.97,678.1154618303735
0.61,Premium,D,VS1,62.4,57.0,5.46,5.44,3.4,2171.077666339934
1.5,Good,J,VS1,64.1,55.0,7.23,7.13,4.6,9375.420129796517
1.25,Ideal,G,SI1,62.5,54.0,6.88,6.85,4.29,7558.909841134637
1.01,Fair,E,SI2,60.0,60.0,6.48,6.38,3.86,5370.338029099639
0.83,Premium,G,SI2,61.6,57.0,6.06,6.02,3.72,3947.7368005910175
1.53,Ideal,H,SI1,62.3,57.0,7.41,7.36,4.6,9637.080154437896
0.71,Ideal,E,VS1,62.4,56.0,5.75,5.7,3.57,2984.4521198367147
0.38,Good,H,SI1,63.3,57.0,4.58,4.62,2.91,613.4295981896685
0.74,Ideal,F,SI1,61.2,56.0,5.83,5.87,3.58,3455.348399483828
0.84,Good,G,VS2,63.6,59.0,5.89,5.94,3.76,3662.9252546225434
0.75,Ideal,E,SI1,61.4,57.0,5.82,5.87,3.59,3433.2383262594376
0.42,Premium,H,VS1,61.7,59.0,4.76,4.83,2.96,942.1908971647499
0.94,Premium,E,SI2,62.4,58.0,6.26,6.33,3.93,4623.573302880677
0.72,Very Good,F,VVS2,59.2,63.0,5.77,5.86,3.44,3009.0225974722744
0.3,Premium,E,VS2,62.4,59.0,4.3,4.26,2.67,74.31108255880827
0.41,Very Good,E,SI2,63.3,56.0,4.73,4.69,2.98,846.526324912491
0.43,Ideal,D,VS2,61.3,55.0,4.84,4.88,2.98,1436.8471942634496
2.24,Premium,I,SI2,61.9,58.0,8.29,8.36,5.15,16139.160607087852
0.84,Very Good,G,VS2,61.8,57.0,6.04,6.07,3.74,4043.7271335667647
1.12,Very Good,E,SI2,60.9,63.0,6.59,6.65,4.03,5936.170118158894
0.34,Premium,I,VS1,61.0,60.0,4.51,4.48,2.74,426.16415717994096
0.3,Premium,G,VS1,62.5,55.0,4.32,4.25,2.68,434.8002584401984
0.7,Ideal,G,VS1,61.4,57.0,5.7,5.73,3.51,3044.3597566306744
1.0,Premium,F,SI1,59.7,60.0,6.48,6.51,3.88,5332.606237578548
0.43,Ideal,D,VS2,61.8,56.0,4.81,4.83,2.98,1269.5424841293316
1.01,Ideal,H,SI1,62.4,53.0,6.42,6.47,4.02,5683.504551765029
0.71,Good,D,SI2,56.6,63.0,5.9,5.76,3.3,3250.8955390029114
1.12,Ideal,E,SI2,62.0,57.0,6.61,6.63,4.11,6298.5638287735055
0.72,Ideal,H,VS2,62.8,57.0,5.74,5.7,3.59,2921.949788433307
0.71,Premium,E,SI1,61.8,59.0,5.75,5.7,3.54,2800.204150370748
0.52,Ideal,D,VS2,61.9,55.0,5.19,5.21,3.22,1847.1938536260895
0.3,Premium,D,VS1,60.2,59.0,4.39,4.42,2.65,413.33780325140833
0.35,Premium,E,VS2,61.6,58.0,4.57,4.52,2.8,540.4713218619872
0.32,Ideal,I,VS2,61.5,56.0,4.4,4.41,2.71,656.3465567611711
1.01,Very Good,I,SI1,64.2,55.0,6.28,6.34,4.05,5290.011044637595
0.58,Ideal,E,VS2,61.9,57.0,5.37,5.33,3.31,2060.1643070557293
0.9,Good,J,SI1,64.3,63.0,6.05,6.01,3.88,3554.1027950671123
0.27,Very Good,F,VVS1,62.0,58.0,4.18,4.21,2.6,88.2536189306411
0.41,Ideal,D,VS1,61.8,57.0,4.8,4.75,2.95,961.1599875805405
1.01,Very Good,H,VS2,63.5,61.0,6.32,6.24,3.99,4761.557058712715
1.01,Fair,G,SI2,68.5,63.0,6.08,6.0,4.14,3844.9834242458674
0.38,Ideal,I,SI1,61.5,56.0,4.67,4.7,2.88,967.7999888022241
1.09,Premium,G,VS2,59.9,56.0,6.73,6.59,3.99,6343.519420666322
1.01,Ideal,F,SI2,62.9,57.0,6.35,6.41,4.01,5262.194871499323
0.41,Premium,G,VS1,60.7,58.0,4.83,4.79,2.92,1045.466442851426
1.5,Very Good,I,SI1,60.2,63.0,7.38,7.33,4.43,9164.350281592982
1.23,Ideal,G,VS2,61.5,54.0,6.92,6.89,4.25,7497.137211832836
0.51,Very Good,F,VS2,62.0,58.0,5.08,5.11,3.16,1550.4183751113487
0.73,Ideal,I,VS1,62.1,54.0,5.77,5.8,3.59,3443.454724512223
0.43,Very Good,E,SI1,63.1,56.0,4.83,4.8,3.04,978.9241206237712
1.58,Ideal,G,VS1,61.3,57.0,7.48,7.54,4.6,10294.42015249546
0.53,Ideal,E,VS2,62.7,54.0,5.18,5.15,3.24,1903.3644384524632
0.65,Very Good,F,VS2,64.0,55.3,5.5,5.57,3.54,2406.295400019273
0.35,Premium,H,VS1,62.6,59.0,4.5,4.45,2.8,322.44130948506063
2.1,Premium,J,VS2,61.3,59.0,8.27,8.21,5.05,14675.586505812986
1.04,Ideal,H,VS1,62.7,55.0,6.43,6.49,4.05,5728.911692644355
1.35,Premium,J,SI1,61.1,61.0,7.13,7.1,4.35,7890.7720972110765
1.06,Ideal,H,SI2,62.5,57.1,6.46,6.5,4.05,5731.17216236559
1.0,Very Good,F,VS2,61.6,56.0,6.42,6.47,3.97,5432.250035705663
0.7,Very Good,F,VVS1,63.0,60.0,5.59,5.62,3.53,2551.280647391308
0.38,Premium,F,VS1,60.9,58.0,4.71,4.68,2.86,832.2648932710108
0.39,Good,G,VS2,63.7,53.0,4.62,4.67,2.96,998.4951698420045
0.83,Good,H,SI2,63.9,56.0,5.99,5.93,3.81,3670.6663680366546
0.9,Very Good,F,VVS2,61.0,63.0,6.13,6.09,3.73,4120.884741911512
0.7,Fair,H,SI1,65.5,57.0,5.59,5.55,3.65,2347.6904646125695
0.42,Premium,F,VVS2,61.7,59.0,4.78,4.82,2.96,915.4412443754845
1.23,Premium,F,VS2,60.8,59.0,6.9,6.94,4.21,7158.250696080575
0.32,Ideal,F,VS2,61.2,56.0,4.41,4.44,2.71,706.1208817974366
1.08,Premium,G,VS1,61.5,61.0,6.62,6.55,4.05,5545.354402001838
0.43,Premium,G,SI1,62.6,59.0,4.8,4.82,3.01,814.6818021951876
1.5,Very Good,G,VVS2,60.9,56.0,7.34,7.37,4.48,9790.85738361696
